"participant","contact","period","estcon"
44,64,"6. Lockdown 2 easing",0.381443622
54,64,"6. Lockdown 2 easing",0.344352853
64,64,"6. Lockdown 2 easing",0.495070967
80,64,"6. Lockdown 2 easing",0.701503703
4,80,"6. Lockdown 2 easing",0.081297966
14,80,"6. Lockdown 2 easing",0.326239721
24,80,"6. Lockdown 2 easing",0.147307197
34,80,"6. Lockdown 2 easing",0.323202093
44,80,"6. Lockdown 2 easing",0.320653507
54,80,"6. Lockdown 2 easing",0.314893452
64,80,"6. Lockdown 2 easing",0.327743833
80,80,"6. Lockdown 2 easing",0.566335869
4,4,"7. Christmas",0.258991434
14,4,"7. Christmas",0.350171807
24,4,"7. Christmas",0.083382167
34,4,"7. Christmas",0.223164453
44,4,"7. Christmas",0.543473335
54,4,"7. Christmas",0.327800811
64,4,"7. Christmas",0.113224905
80,4,"7. Christmas",0.121302759
4,14,"7. Christmas",0.243218995
14,14,"7. Christmas",0.8372848635
24,14,"7. Christmas",0.415814476
34,14,"7. Christmas",0.1844318695
44,14,"7. Christmas",0.336235733
54,14,"7. Christmas",0.479127199
64,14,"7. Christmas",0.251494988
80,14,"7. Christmas",0.087461044
4,24,"7. Christmas",0.571258783
14,24,"7. Christmas",0.739109899
24,24,"7. Christmas",0.445812812
34,24,"7. Christmas",0.781039608
44,24,"7. Christmas",0.515252874
54,24,"7. Christmas",0.419250859
64,24,"7. Christmas",0.506221828
80,24,"7. Christmas",0.411721723
4,34,"7. Christmas",1.287198512
14,34,"7. Christmas",1.164016167
24,34,"7. Christmas",0.356497192
34,34,"7. Christmas",0.476738076
44,34,"7. Christmas",0.614415692
54,34,"7. Christmas",0.458569647
64,34,"7. Christmas",0.358962418
80,34,"7. Christmas",0.385019759
4,44,"7. Christmas",0.718687131
14,44,"7. Christmas",1.625786492
24,44,"7. Christmas",0.902263627
34,44,"7. Christmas",0.3590839
44,44,"7. Christmas",0.424490388
54,44,"7. Christmas",0.563321832
64,44,"7. Christmas",0.391686242
80,44,"7. Christmas",0.314723698
4,54,"7. Christmas",0.264662339
14,54,"7. Christmas",0.940013418
24,54,"7. Christmas",0.649216293
34,54,"7. Christmas",0.46225666
44,54,"7. Christmas",0.354267959
54,54,"7. Christmas",0.417598235
64,54,"7. Christmas",0.602744676
80,54,"7. Christmas",0.457166126
4,64,"7. Christmas",0.225228285
14,64,"7. Christmas",0.251480696
24,64,"7. Christmas",0.140187973
34,64,"7. Christmas",0.298640127
44,64,"7. Christmas",0.301833876
54,64,"7. Christmas",0.266533531
64,64,"7. Christmas",0.363141693
80,64,"7. Christmas",0.633332813
4,80,"7. Christmas",0.132543741
14,80,"7. Christmas",0.189476352
24,80,"7. Christmas",0.092683834
34,80,"7. Christmas",0.191647815
44,80,"7. Christmas",0.257034452
54,80,"7. Christmas",0.259352324
64,80,"7. Christmas",0.319393361
80,80,"7. Christmas",0.373113236
4,4,"8. Lockdown 3",0.698170537
14,4,"8. Lockdown 3",0.665984794
24,4,"8. Lockdown 3",0.233651679
34,4,"8. Lockdown 3",0.244213336
44,4,"8. Lockdown 3",0.618215209
54,4,"8. Lockdown 3",0.314919532
64,4,"8. Lockdown 3",0.119565555
80,4,"8. Lockdown 3",0.073226757
4,14,"8. Lockdown 3",0.451095876
14,14,"8. Lockdown 3",0.8534566035
24,14,"8. Lockdown 3",0.3741407225
34,14,"8. Lockdown 3",0.175342931
44,14,"8. Lockdown 3",0.320233552
54,14,"8. Lockdown 3",0.474218258
64,14,"8. Lockdown 3",0.2464923895
80,14,"8. Lockdown 3",0.0668662815
4,24,"8. Lockdown 3",0.625139943
14,24,"8. Lockdown 3",0.703408461
24,24,"8. Lockdown 3",0.427296814
34,24,"8. Lockdown 3",0.669973897
44,24,"8. Lockdown 3",0.429677352
54,24,"8. Lockdown 3",0.385352753
64,24,"8. Lockdown 3",0.524669028
